team,opponent,result
Wolverhampton Wanderers,Norwich City,D
Aston Villa,Everton,D
Liverpool,Arsenal,W
Brighton and Hove Albion,Chelsea,D
Wolverhampton Wanderers,Manchester City,L
Fulham,Brentford,W
Crystal Palace,Tottenham,W
Fulham,Wolves,D
Fulham,Southampton,D
Brentford,Liverpool,L
Newcastle United,Aston Villa,W
Liverpool,Fulham,L
Wolverhampton Wanderers,Norwich City,W
Fulham,Leicester City,W
Crystal Palace,Aston Villa,L
Burnley,Newcastle Utd,W
Watford,Norwich City,W
Sheffield United,Aston Villa,L
Manchester United,Tottenham,D
West Ham United,Brentford,L
Chelsea,Sheffield Utd,L
Liverpool,Manchester Utd,L
Everton,West Brom,W
Manchester United,Newcastle Utd,W
Manchester City,Norwich City,W
Everton,Wolves,W
Sheffield United,Burnley,W
Arsenal,Newcastle Utd,W
Manchester City,Luton Town,W
Aston Villa,Liverpool,W
Leicester City,Watford,D
Leicester City,Aston Villa,D
Liverpool,Southampton,W
Tottenham Hotspur,Brighton,W
Southampton,Newcastle Utd,L
Burnley,Crystal Palace,W
Manchester United,Newcastle Utd,D
Manchester United,Tottenham,W
Manchester United,Fulham,W
Brighton and Hove Albion,Aston Villa,W
Aston Villa,Southampton,W
West Ham United,Southampton,W
Leicester City,Wolves,D
West Ham United,Chelsea,W
Chelsea,Tottenham,W
Everton,Manchester Utd,D
Aston Villa,West Brom,D
Leeds United,Everton,L
Watford,Tottenham,L
Liverpool,Newcastle Utd,D
Wolverhampton Wanderers,Bournemouth,D
Nottingham Forest,Tottenham,L
Manchester United,Arsenal,D
Liverpool,Leeds United,W
Liverpool,Chelsea,W
Everton,Chelsea,L
Newcastle United,Leeds United,D
Liverpool,Norwich City,W
Leicester City,Newcastle Utd,W
Sheffield United,Tottenham,L
Everton,Crystal Palace,W
Newcastle United,Southampton,W
Wolverhampton Wanderers,Tottenham,L
Crystal Palace,Watford,W
Chelsea,Sheffield Utd,W
Tottenham Hotspur,Southampton,W
